volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
567742.5987207106,119675.9921875,274332.9719986259,107271.3671875,47208.7265625,0.0,0.0,0.06311888281741312
568136.2503238732,120762.6015625,273560.9695877359,109487.359375,47229.77734375,0.0,0.0,0.07415822109269338
568446.8815816621,119835.125,272700.2641672954,108010.8984375,47239.015625,0.0,0.0,0.08712831264047052
568872.718085904,118687.8203125,271701.35091344186,107856.1484375,47237.1953125,0.0,0.0,0.10236684148729576
569368.8217243403,117412.96875,270527.9051207239,107679.703125,47237.1640625,0.0,0.0,0.12027055177030621
569946.4190305392,116017.6640625,269171.96351623564,107534.2109375,47237.92578125,0.0,0.0,0.14125
570679.7659007454,115248.671875,267542.59709746146,107346.8671875,47250.625,0.0,0.0,0.16596
571451.8512341927,113678.6171875,265667.3407895112,107120.65625,47256.5390625,0.0,0.0,0.19498
572421.6655752786,112311.828125,263442.57214658393,106880.6484375,47260.3359375,0.0,0.0,0.22909
573516.8445359013,110607.71875,260843.51256524347,106594.8984375,47262.5546875,0.0,0.0,0.26915
574715.4494777698,108703.6171875,257798.76178659598,106226.53125,47257.359375,0.0,0.0,0.31623
576154.5100930582,106706.078125,254177.04521769876,105779.8125,47266.8203125,0.0,0.0,0.37154
577914.7516769222,104415.0703125,250004.34740479034,105147.625,47271.53125,0.0,0.0,0.43652
579766.0405478886,101742.65625,245050.00549861204,104296.9296875,47279.56640625,0.0,0.0,0.51286
582114.2064318523,98580.4140625,239281.85503710207,102987.265625,47266.65234375,0.0,0.0,0.60256
584632.9358898248,94981.8671875,232431.8354191204,100595.7265625,47263.68359375,0.0,0.0,0.70795
587966.7716416916,90315.2734375,224177.05795108186,96592.3125,47253.80859375,0.0,0.0,0.83176
592050.5597174542,84760.1015625,214620.1892159699,90695.0703125,47277.0625,0.0,0.0,0.97724
596112.1497432279,77190.109375,203888.14488470592,83062.5703125,47220.421875,0.0,0.0,1.1482
600834.4614666251,69350.7734375,191646.59049893447,74492.59375,47226.66796875,0.0,0.0,1.349
604912.7363740361,62621.82421875,178231.8312263592,65321.7734375,47183.17578125,0.0,0.0,1.5849
607331.008977623,57898.9609375,163811.94023893317,56242.3125,47136.33984375,0.0,0.0,1.8621
610248.3197188124,54726.74609375,151347.33671632857,47657.671875,46990.73828125,0.0,0.0,2.1878
613665.5697330881,52477.13671875,137241.84101686187,40215.6328125,46958.7421875,0.0,0.0,2.5704
614057.9291201931,50849.25,123630.1611362346,33199.22265625,46742.55078125,0.0,0.0,3.02
616649.5207617746,49055.21875,112088.78079923075,28712.0625,46485.5078125,0.0,0.0,3.5481
617500.398964587,47956.375,97298.86734644615,22858.861328125,46320.7265625,0.0,0.0,4.1687
616062.7297464428,46963.33203125,88971.27184767008,19332.884765625,45870.46484375,0.0,0.0,4.8978
619099.3857657958,45445.48046875,73689.7985481369,16968.1484375,45195.9453125,0.0,0.0,5.7544
619872.6973605292,44780.18359375,64623.8305885773,15060.6455078125,45208.58203125,0.0,0.0,6.7608
624816.4001084241,44158.203125,53884.00829178957,12333.82421875,44856.33203125,0.0,0.0,7.9433
594355.9499611286,42340.08984375,41178.509089431136,9158.525390625,42941.54296875,0.0,0.0,9.3325
