volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
537454.7270472589,106546.578125,303240.6398452019,94356.5625,45306.4765625,0.0,0.0,0.06311888281741312
537772.5444081821,107602.4296875,302562.3635443626,96403.8984375,45332.15625,0.0,0.0,0.07415822109269338
538037.3840964767,107078.734375,301791.14011028886,95016.1484375,45338.26953125,0.0,0.0,0.08712831264047052
538403.1437997307,106443.078125,300913.3013246988,94863.171875,45339.921875,0.0,0.0,0.10236684148729576
538817.1133404217,105707.5078125,299882.0113967245,94682.8359375,45337.5859375,0.0,0.0,0.12027055177030621
539317.1577412518,104959.46875,298672.5441978668,94533.6171875,45340.4140625,0.0,0.0,0.14125
539956.2459454415,104686.6875,297245.8868994798,94349.5546875,45355.00390625,0.0,0.0,0.16596
540630.9735238411,103819.6015625,295576.33466275956,94126.5234375,45362.47265625,0.0,0.0,0.19498
541446.9021091311,103167.984375,293621.70881751284,93877.7734375,45368.20703125,0.0,0.0,0.22909
542372.9294528683,102273.328125,291333.5391219416,93584.9375,45370.2578125,0.0,0.0,0.26915
543396.1988230685,101268.5546875,288639.39097624086,93239.4375,45372.19921875,0.0,0.0,0.31623
544600.0374217145,100195.1640625,285485.63428646815,92761.25,45381.70703125,0.0,0.0,0.37154
545980.4175852018,98919.171875,281757.28585161397,92196.6328125,45390.66015625,0.0,0.0,0.43652
547576.5997168033,97562.1484375,277421.04129556485,91333.1015625,45391.78125,0.0,0.0,0.51286
549457.5252126798,95891.5625,272409.77587544586,90301.46875,45410.65625,0.0,0.0,0.60256
551477.3984480322,93847.984375,266531.42493313743,88736.328125,45401.94140625,0.0,0.0,0.70795
553939.7931217729,91363.3671875,259547.29441478147,86282.9140625,45403.57421875,0.0,0.0,0.83176
556764.0166245699,88172.15625,251280.58998624302,82453.0703125,45386.71484375,0.0,0.0,0.97724
560644.1658387511,83739.84375,241791.32068842035,77406.75,45398.17578125,0.0,0.0,1.1482
565145.1895446819,77914.640625,231031.640310214,71141.1953125,45370.703125,0.0,0.0,1.349
569584.1392399492,71146.734375,218465.72154974157,63387.38671875,45364.84765625,0.0,0.0,1.5849
573820.4074338222,65517.97265625,205263.40848319384,56195.77734375,45212.68359375,0.0,0.0,1.8621
579393.581611246,60259.453125,192690.85592888563,48578.9765625,45209.859375,0.0,0.0,2.1878
580957.1237910982,56668.0859375,177614.92516571065,41745.85546875,45047.0703125,0.0,0.0,2.5704
584450.6936068333,53138.79296875,167789.31948087725,36039.2265625,44899.76171875,0.0,0.0,3.02
583417.4328199414,51302.7578125,151564.89226177774,30709.06640625,44675.69921875,0.0,0.0,3.5481
587898.1725916585,48938.72265625,136503.10500709235,25252.40234375,44478.13671875,0.0,0.0,4.1687
583516.2513738126,47484.015625,126799.49072692623,22791.787109375,43987.24609375,0.0,0.0,4.8978
580650.6428213364,45213.57421875,112091.19795623966,19353.103515625,43387.3046875,0.0,0.0,5.7544
577774.6957035653,43727.48046875,97127.54449228659,16592.75,43200.96875,0.0,0.0,6.7608
558996.5412504814,42552.1875,79048.45889100718,15112.5625,42788.0625,0.0,0.0,7.9433
568267.3272094969,40929.01171875,67222.32321974623,12458.5390625,41635.53515625,0.0,0.0,9.3325
