volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
442412.1448576327,100644.7578125,223036.95334003522,90559.6640625,39733.8515625,0.0,0.0,0.06311888281741312
442727.39486255724,101686.4140625,222384.75341413417,92531.359375,39753.02734375,0.0,0.0,0.07415822109269338
442969.36260505166,101235.578125,221645.68821215577,91238.03125,39759.765625,0.0,0.0,0.08712831264047052
443314.8285825115,100682.7421875,220807.05394655143,91119.5546875,39759.27734375,0.0,0.0,0.10236684148729576
443708.42318317556,100049.46875,219815.34960702196,90972.1328125,39759.94921875,0.0,0.0,0.12027055177030621
444165.13711889135,99335.8125,218654.34541850295,90846.1796875,39758.3515625,0.0,0.0,0.14125
444766.6288382004,99103.859375,217296.9256520462,90675.7890625,39774.6796875,0.0,0.0,0.16596
445402.8814619817,98261.40625,215701.76883810174,90498.8046875,39771.1796875,0.0,0.0,0.19498
446192.4044129278,97613.453125,213830.08369604097,90284.3359375,39781.6875,0.0,0.0,0.22909
447054.9666789693,96670.2734375,211623.03019750668,90039.8203125,39780.5078125,0.0,0.0,0.26915
448055.73721370776,95593.9921875,209030.87336798877,89710.546875,39772.30859375,0.0,0.0,0.31623
449228.49066944915,94324.703125,206021.86059374662,89365.5546875,39781.43359375,0.0,0.0,0.37154
450578.0537669505,92889.09375,202485.38846394068,88839.3125,39776.5390625,0.0,0.0,0.43652
452170.95979179454,91180.328125,198277.76748001485,88197.7109375,39793.75390625,0.0,0.0,0.51286
454043.5740790706,88903.0390625,193435.76499468694,87085.203125,39781.62890625,0.0,0.0,0.60256
456173.39674819226,86150.015625,187722.10193508994,85272.4765625,39768.13671875,0.0,0.0,0.70795
459044.41911611403,82599.625,180644.03220372126,82096.546875,39770.34765625,0.0,0.0,0.83176
462551.71475114464,77455.0859375,172821.35392324603,77176.8359375,39759.13671875,0.0,0.0,0.97724
466047.9536628221,71484.2265625,163384.00099866826,70812.2265625,39714.140625,0.0,0.0,1.1482
470131.8308717618,63999.578125,153185.06402169564,63555.69140625,39703.5,0.0,0.0,1.349
474180.0486199848,57441.7109375,142107.65775068442,55710.47265625,39665.390625,0.0,0.0,1.5849
477453.39236663736,52323.109375,130288.33766792052,47325.2734375,39580.62109375,0.0,0.0,1.8621
480029.9749314477,48801.0859375,117956.77745824163,39944.8984375,39509.53515625,0.0,0.0,2.1878
481742.4158849424,45962.421875,107158.14985908387,32929.140625,39345.71875,0.0,0.0,2.5704
482576.90034688776,43546.80078125,95503.91501510532,27077.38671875,39035.65625,0.0,0.0,3.02
484174.4018543489,41859.3984375,84869.6117752423,22337.330078125,38957.203125,0.0,0.0,3.5481
486725.6824478061,40651.91796875,72823.73541288015,17727.05859375,38578.55078125,0.0,0.0,4.1687
487532.68513357,39144.12109375,66767.26565654627,15282.88671875,38419.03125,0.0,0.0,4.8978
482890.8366025637,38462.78515625,56986.26425605063,13160.990234375,37900.62890625,0.0,0.0,5.7544
476299.16494282056,37034.9765625,46284.60676744719,10778.9208984375,37214.109375,0.0,0.0,6.7608
460604.30241939245,35599.64453125,37827.197951812836,8827.55078125,35745.53125,0.0,0.0,7.9433
451959.72888434894,34701.4296875,37726.73613394971,8110.6787109375,35356.3359375,0.0,0.0,9.3325
