volumes_gm,areas_gm,volumes_wm,areas_wm,areas_exp,cor_pial,cor_exp,res
561074.759165042,119931.6484375,275311.0252554406,106465.59375,46090.40234375,0.0,0.0,0.06311888281741312
561461.0239676203,121082.59375,274562.1950745331,108701.8984375,46109.06640625,0.0,0.0,0.07415822109269338
561763.7769578904,120332.0078125,273703.8570680565,107232.609375,46113.06640625,0.0,0.0,0.08712831264047052
562188.6766392486,119423.7734375,272716.1701129772,107088.984375,46113.2109375,0.0,0.0,0.10236684148729576
562685.1678153554,118385.84375,271557.58051653317,106913.34375,46111.12890625,0.0,0.0,0.12027055177030621
563253.5793765105,117292.546875,270201.13897302706,106762.796875,46110.453125,0.0,0.0,0.14125
563979.863754091,116767.8125,268604.1785560953,106576.0546875,46127.3359375,0.0,0.0,0.16596
564766.8102854295,115526.28125,266738.1552085614,106356.0703125,46126.92578125,0.0,0.0,0.19498
565739.1778287609,114425.2890625,264537.1860736817,106107.53125,46133.8984375,0.0,0.0,0.22909
566812.0722831415,112994.328125,261963.86138452246,105822.046875,46138.12109375,0.0,0.0,0.26915
568039.4108255953,111362.984375,258939.5553461099,105440.125,46144.87109375,0.0,0.0,0.31623
569475.5521423826,109534.296875,255434.59415481865,104997.796875,46141.3203125,0.0,0.0,0.37154
571092.6671904402,107443.25,251256.43871175067,104451.5234375,46138.83984375,0.0,0.0,0.43652
573132.48701583,104891.8828125,246406.74498123364,103676.3125,46145.2109375,0.0,0.0,0.51286
575501.9673792465,101872.5703125,240671.79208957285,102421.8203125,46141.03125,0.0,0.0,0.60256
578240.1007549659,98077.609375,233832.25186950344,100388.21875,46108.5078125,0.0,0.0,0.70795
581621.6437072878,93504.9765625,225855.80100535107,96877.9296875,46136.0859375,0.0,0.0,0.83176
585962.4619040649,87026.84375,216532.2022823351,91512.484375,46120.5390625,0.0,0.0,0.97724
590671.1093729316,78859.265625,205682.15222140288,84495.9921875,46094.41015625,0.0,0.0,1.1482
595321.2171506005,69830.0546875,193256.00263702855,76079.0546875,46083.24609375,0.0,0.0,1.349
599281.3467024586,62670.265625,180003.0905168644,66810.8203125,46008.59375,0.0,0.0,1.5849
602156.5706585341,58010.5,166093.83694638696,57140.01953125,45949.90625,0.0,0.0,1.8621
604947.6762378849,54513.16015625,152117.52364142987,48044.2734375,45770.71875,0.0,0.0,2.1878
607639.3681812049,51945.984375,138888.50823616324,40264.046875,45617.55078125,0.0,0.0,2.5704
607354.9921536598,49946.22265625,126188.92404169907,33867.6875,45561.453125,0.0,0.0,3.02
605899.7008398947,48610.65625,110360.880754357,28154.640625,45082.29296875,0.0,0.0,3.5481
606815.5578565479,47254.09765625,99984.8016867221,24162.45703125,44775.69921875,0.0,0.0,4.1687
611088.6724179883,46046.63671875,85759.5499625515,20109.654296875,44706.5,0.0,0.0,4.8978
602278.4034947138,44422.48046875,78308.1315657815,16484.359375,44077.734375,0.0,0.0,5.7544
596627.8152942865,43414.97265625,61866.08998911593,13072.0810546875,43376.20703125,0.0,0.0,6.7608
567979.6534238864,41952.33984375,56769.53331407087,11812.6865234375,42293.125,0.0,0.0,7.9433
580084.4315582353,40925.74609375,43895.49789638552,9725.8916015625,41590.89453125,0.0,0.0,9.3325
