name,Area total,Volume total,Area white,Volume white,Area exposed,Volume exposed
chimp,33004.7265625,159261.49544718635,24829.21484375,72305.44115807745,18902.9453125,192383.89281297658
human-subj-0000,125585.2578125,565889.501978257,99765.53125,278409.7109959001,47238.25390625,770167.5541091963
human-subj-0001,109232.0625,535834.6321461062,87867.59375,306834.6265802172,45332.8828125,730721.5451447999
human-subj-0003,115732.5390625,521010.8834832205,95385.359375,270137.29645788186,44871.64453125,723558.9547546451
human-subj-0006,124466.71875,559245.8228031145,99076.4609375,279359.9788048976,46118.734375,749872.9919359086
human-subj-0009,107088.8359375,451360.52045643964,85532.171875,233886.0818063568,39485.09375,611990.4361442182
human-subj-0010,102777.4921875,440927.058118972,84274.109375,226471.17301269306,39761.5859375,600619.0628714393
marmoset,1983.48974609375,3268.7326795277722,1194.4739990234375,1160.228720484017,1444.615966796875,4075.5184417257065
rhesus,12706.0498046875,35015.01210214514,9620.5712890625,12965.799754341107,7146.66796875,44928.002578815074
